temps;TPC;TV;APEG
temps;Consigne tangage PC;Gyromètre;Angle Pivot
0001.918; 0051;-0003;-07090
0001.926; 0051;-0001;-07090
0001.936; 0051; 0001;-07090
0001.947; 0051; 0009;-07090
0001.958; 0051; 0005;-07090
0001.966; 0051; 0007;-07090
0001.976; 0051; 0011;-07070
0001.987; 0051; 0005;-07070
0001.998; 0051; 0005;-07070
0002.008; 0051; 0005;-07070
0002.016; 0051; 0005;-07090
0002.027; 0051; 0005;-07070
0002.046; 0051; 0005;-07090
0002.056; 0051; 0003;-07090
0002.067; 0051; 0005;-07070
0002.086; 0051; 0005;-07070
0002.096; 0051; 0007;-07090
0002.107; 0051; 0007;-07090
0002.118; 0051; 0003;-07090
0002.126; 0051; 0005;-07070
0002.136; 0051; 0009;-07070
0002.147; 0051; 0007;-07110
0002.158; 0051; 0009;-07090
0002.168; 0051; 0005;-07070
0002.176; 0051; 0001;-07090
0002.187; 0051;-0001;-07090
0002.195; 0051; 0001;-07090
0002.206; 0051; 0001;-07110
0002.216; 0051; 0005;-07090
0002.227; 0051; 0007;-07090
0002.235; 0051; 0009;-07090
0002.246; 0051; 0013;-07070
0002.256; 0051; 0005;-07090
0002.267; 0051; 0007;-07090
0002.278; 0051; 0003;-07110
0002.286; 0051; 0005;-07070
0002.296; 0051; 0009;-07070
0002.307; 0051; 0009;-07110
0002.326; 0051; 0005;-07090
0002.336; 0051; 0007;-07090
0002.347; 0051; 0005;-07070
0002.358; 0051; 0005;-07070
0002.366; 0051; 0005;-07110
0002.376; 0051; 0017;-06910
0002.387; 0051; 0009;-07070
0002.395; 0051; 0007;-07090
0002.406; 0051; 0007;-07090
0002.416; 0051; 0007;-07090
0002.427; 0051; 0007;-07090
0002.435; 0051; 0005;-07110
0002.446; 0051; 0005;-07070
0002.456; 0051; 0001;-07090
0002.467; 0051; 0001;-07090
0002.475; 0051; 0005;-07090
0002.486; 0051; 0007;-07070
0002.496; 0051; 0005;-07070
0002.507; 0051; 0005;-07090
0002.518; 0051; 0003;-07070
0002.526; 0051; 0009;-07090
0002.536; 0051; 0007;-07070
0002.555; 0051; 0007;-07070
0002.566; 0051; 0005;-07110
0002.576; 0051; 0009;-07090
0002.584; 0051; 0005;-07070
0002.595; 0051; 0009;-07090
0002.606; 0051; 0013;-07090
0002.616; 0051; 0005;-07110
0002.624; 0051; 0007;-07090
0002.635; 0051; 0001;-07090
0002.646; 0051;-0001;-07090
0002.656; 0051;-0005;-07070
0002.664; 0051; 0001;-07090
0002.675; 0051; 0005;-07090
0002.686; 0051; 0001;-07090
0002.696; 0051; 0009;-07090
0002.704; 0051; 0009;-07110
0002.715; 0051; 0009;-07090
0002.726; 0051; 0007;-07070
0002.736; 0051; 0001;-07070
0002.744; 0051; 0001;-07110
0002.755; 0051; 0007;-07090
0002.766; 0051; 0005;-07090
0002.776; 0051; 0001;-07090
0002.787; 0051; 0001;-07090
0002.795; 0051;-0001;-07070
0002.806; 0051;-0003;-07110
0002.816; 0051; 0001;-07070
0002.824; 0051;-0001;-07110
0002.835; 0051; 0001;-07090
0002.846; 0051;-0001;-07090
0002.856; 0051; 0001;-07090
0002.864; 0051; 0009;-07070
0002.875;-0051; 0005;-07090
0002.886;-0051; 0007;-07070
0002.896;-0051; 0005;-07090
0002.904;-0051; 0007;-07070
0002.915;-0051; 0005;-07090
0002.926;-0051; 0007;-07070
0002.936;-0051; 0005;-07090
0002.944;-0051; 0005;-07090
0002.955;-0051; 0001;-07070
0002.966;-0051; 0001;-07090
0002.984;-0051;-0005;-07110
0002.995;-0051;-0003;-07070
0003.006;-0051;-0005;-07090
0003.014;-0051;-0011;-07090
0003.024;-0051;-0009;-07070
0003.035;-0051;-0013;-07090
0003.046;-0051;-0015;-07070
0003.054;-0051;-0019;-07090
0003.064;-0051;-0025;-07110
0003.075;-0051;-0033;-07090
0003.086;-0051;-0037;-07090
0003.094;-0051;-0041;-07090
0003.104;-0051;-0049;-07090
0003.115;-0051;-0055;-07090
0003.126;-0051;-0057;-07090
0003.136;-0051;-0071;-07090
0003.163;-0051;-0087;-07090
0003.176;-0051;-0089;-07090
0003.184;-0051;-0103;-07090
0003.195;-0051;-0107;-07110
0003.206;-0051;-0109;-07070
0003.214;-0051;-0119;-07090
0003.224;-0051;-0123;-07090
0003.238;-0051;-0135;-07090
0003.249;-0051;-0149;-07090
0003.254;-0051;-0147;-07070
0003.264;-0051;-0153;-07070
0003.275;-0051;-0153;-07070
0003.286;-0051;-0183;-07070
0003.294;-0051;-0167;-07090
0003.304;-0051;-0189;-07070
0003.315;-0051;-0187;-07070
0003.326;-0051;-0197;-07070
0003.334;-0051;-0211;-07070
0003.344;-0051;-0203;-07090
0003.355;-0051;-0229;-07070
0003.366;-0051;-0225;-07090
0003.374;-0051;-0247; 03205
0003.384;-0051;-0249; 03004
0003.395;-0051;-0255; 02844
0003.406;-0051;-0271; 02644
0003.414;-0051;-0271; 02504
0003.425;-0051;-0287; 02303
0003.435;-0051;-0299; 02003
0003.454;-0051;-0313; 01662
