temps;Consigne tangage PC;Effort milli N
21,999;-51;726
22,01;-51;716
22,021;-51;726
22,031;-51;726
22,04;-51;736
22,051;-51;736
22,059;-51;726
22,07;-51;726
22,081;-51;716
22,091;-51;726
22,1;-51;716
22,11;-51;726
22,121;-51;726
22,13;-51;726
22,14;-51;726
22,151;-51;726
22,159;-51;716
22,17;-51;726
22,181;-51;726
22,189;-51;736
22,2;-51;736
22,209;-51;736
22,217;-51;726
22,232;-51;736
22,241;-51;726
22,249;-51;726
22,26;-51;726
22,27;-51;726
22,281;-51;736
22,29;-51;736
22,3;-51;736
22,317;-51;726
22,33;-51;736
22,339;-51;726
22,349;-51;726
22,36;-51;736
22,371;-51;736
22,381;-51;736
22,39;-51;736
22,401;-51;726
22,409;-51;736
22,42;-51;726
22,43;-51;726
22,439;-51;736
22,45;-51;736
22,46;-51;726
22,469;-51;736
22,482;-51;746
22,49;-51;736
22,499;-51;746
22,511;-51;746
22,518;-51;736
22,529;-51;746
22,537;-51;736
22,548;-51;746
22,558;-51;736
22,567;-51;736
22,578;-51;736
22,588;-51;736
22,599;-51;746
22,607;-51;746
22,618;-51;746
22,627;-51;736
22,637;-51;746
22,648;-51;736
22,659;-51;736
22,667;-51;736
22,678;-51;736
22,689;-51;736
22,699;-51;746
22,708;-51;746
22,718;-51;755
22,727;-51;746
22,738;-51;736
22,748;-51;746
22,757;-51;746
22,767;-51;736
22,778;-51;746
22,787;-51;746
22,797;-51;736
22,808;-51;746
22,819;-51;736
22,829;-51;736
22,84;-51;736
22,849;-51;746
22,857;-51;736
22,87;-51;736
22,881;-51;746
22,889;-51;736
22,9;-51;736
22,908;-51;736
22,917;-51;736
22,93;-51;726
22,936;-51;736
22,949;-51;736
22,957;-51;726
22,977;-51;726
22,987;-51;736
22,998;-51;736
23,009;-51;736
23,017;-51;736
23,028;-51;746
23,036;-51;736
23,047;-51;736
23,058;-51;726
23,066;-51;736
23,077;-51;736
23,088;-51;736
23,096;-51;736
23,107;-51;736
23,117;-51;726
23,128;-51;736
23,139;-51;736
23,147;-51;736
23,158;-51;736
23,166;-51;746
23,177;-51;736
23,188;-51;736
23,196;-51;736
23,207;-51;736
23,218;-51;746
23,226;-51;726
23,237;-51;736
23,248;-51;736
23,256;-51;736
23,267;-51;736
23,277;-51;736
23,286;-51;726
23,297;-51;726
23,307;-51;726
23,318;-51;736
23,335;-51;736
23,348;-51;736
23,358;-51;736
23,369;-51;736
23,38;-51;726
23,388;-51;716
23,397;-51;716
23,41;-51;716
23,42;-51;716
23,429;-51;726
23,437;-51;726
23,45;-51;716
23,459;-51;726
23,476;-51;726
23,489;-51;726
23,499;-51;726
23,508;-51;736
23,518;-51;736
23,529;-51;726
23,54;-51;726
23,548;-51;726
23,559;-51;726
23,57;-51;716
23,578;-51;716
23,589;-51;726
23,597;-51;726
23,608;-51;726
23,617;-51;736
23,629;-51;726
23,636;-51;726
23,649;-51;746
23,657;-51;736
23,668;-51;736
23,678;-51;746
23,696;-51;746
23,708;-51;736
23,719;-51;736
23,73;-51;746
23,738;-51;736
23,749;-51;726
23,757;-51;736
23,768;-51;736
23,779;-51;726
23,785;-51;726
23,798;-51;736
23,809;-51;726
23,819;-51;726
23,828;-51;726
23,838;-51;726
23,847;-51;736
23,858;-51;736
23,868;-51;726
23,879;-51;736
23,89;-51;726
23,898;-51;726
23,907;-51;726
23,926;-51;736
23,939;-51;726
23,947;-51;736
23,958;-51;726
23,969;-51;736
23,979;-51;726
23,988;-51;736
23,998;-51;736
24,009;-51;736
24,02;-51;736
24,028;-51;736
24,039;-51;736
24,05;-51;736
24,058;-51;736
24,067;-51;726
24,08;-51;736
24,088;-51;736
24,099;-51;736
24,107;-51;736
24,118;-51;746
24,129;-51;736
24,137;-51;736
24,148;-51;746
24,156;-51;746
24,169;-51;746
24,176;-51;736
24,188;-51;736
24,197;-51;736
24,214;-51;736
24,229;-51;736
24,237;-51;726
24,248;-51;726
24,257;-51;736
24,267;-51;746
24,276;-51;736
24,284;-51;736
24,299;-51;736
24,308;-51;746
24,325;-51;746
24,338;-51;736
24,346;-51;746
24,357;-51;736
24,368;-51;746
24,378;-51;736
24,385;-51;736
24,395;-51;746
24,408;-51;736
24,417;-51;736
24,427;-51;736
24,438;-51;736
24,449;-51;736
24,457;-51;726
24,468;-51;726
24,478;-51;726
24,487;-51;726
24,498;-51;736
24,506;-51;736
24,517;-51;736
24,528;-51;736
24,536;-51;736
24,547;-51;726
24,557;-51;736
24,568;-51;726
24,579;-51;736
24,587;-51;736
24,604;-51;726
24,615;-51;736
24,628;-51;736
24,636;-51;746
24,647;-51;736
24,656;-51;746
24,666;-51;736
24,677;-51;736
24,688;-51;746
24,698;-51;736
24,707;-51;726
24,717;-51;736
24,728;-51;726
24,737;-51;726
24,747;-51;726
24,756;-51;736
24,766;-51;726
24,777;-51;716
24,786;-51;716
24,796;-51;716
24,807;-51;716
24,816;-51;726
24,824;-51;716
24,837;-51;716
24,845;-51;716
24,858;-51;716
24,867;-51;716
24,877;-51;716
24,888;-51;716
24,897;-51;706
24,907;-51;726
24,916;-51;716
24,926;-51;726
24,937;-51;716
24,946;-51;716
24,956;-51;716
24,967;-51;726
24,978;-51;716
24,986;-51;726
24,997;-51;726
25,005;-51;726
25,022;-51;716
25,035;-51;726
25,048;-51;716
25,057;-51;716
25,065;-51;726
25,078;-51;726
25,086;-51;726
25,097;-51;716
25,108;-51;726
25,114;-51;726
25,127;-51;726
25,133;-51;716
25,146;-51;716
25,157;-51;716
25,168;-51;726
25,174;-51;726
25,185;-51;726
25,195;-51;726
25,204;-51;726
25,217;-51;726
25,227;-51;716
25,242;-51;716
25,255;-51;716
25,266;-51;716
25,276;-51;706
25,285;-51;716
25,296;-51;706
25,306;-51;716
25,317;-51;716
25,323;-51;726
25,336;-51;726
25,349;-51;726
25,353;-51;716
25,366;-51;716
25,374;-51;706
25,385;-51;716
25,396;-51;716
25,406;-51;716
25,415;-51;726
25,426;-51;726
25,436;-51;716
